year,month,passengers_in,passengers_out,passengers_total,freight_in,freight_out,freight_total,mail_in,mail_out,mail_total,aircraft_in,aircraft_out,aircraft_total,flights_in,flights_out,flights_total,passengers_incl_transit_in,passengers_incl_transit_out,passengers_incl_transit_total,available_seats_in,available_seats_out,available_seats_total,seat_utilisation_in,seat_utilisation_out,seat_utilisation_total
2014,Nov,1322483,1346054,2668537,47571164,36085410,83656574,2744110,1025837,3769947,7144,7148,14292,6971,6975,13946,1366611,1390361,2756972,1753608,1758333,3511941,77.93138489331709,79.07267849719024,78.50279944907959
2014,Dec,1449684,1710071,3159755,42282275,39619241,81901516,3206269,1562521,4768790,8037,8029,16066,7867,7859,15726,1505583,1766237,3271820,1999000,2003269,4002269,75.31680840420209,88.16773982924909,81.74912780725133
2015,Jan,1784287,1498628,3282915,36876824,41254741,78131565,2392831,886820,3279651,8181,8166,16347,8010,7995,16005,1843557,1557653,3401210,2041686,2042623,4084309,90.29581434167643,76.25748853312628,83.27504113914985
2015,Feb,1410790,1240775,2651565,38533701,37568006,76101707,2092623,791829,2884452,6879,6877,13756,6717,6715,13432,1474544,1304597,2779141,1713638,1717985,3431623,86.04757831000481,75.93762460091328,80.98619807595415
2015,Mar,1370140,1432073,2802213,44415980,40504946,84920926,2435467,872658,3308125,7377,7367,14744,7203,7193,14396,1425374,1487606,2912980,1818856,1823451,3642307,78.36651169746258,81.58190157015461,79.97623484236776
2015,Apr,1361635,1384880,2746515,40886166,35144071,76030237,2090522,864984,2955506,7357,7357,14714,7179,7180,14359,1408780,1432213,2840993,1806728,1813102,3619830,77.97410567611726,78.99241189960631,78.48415533326151
2015,May,1218186,1309275,2527461,43269763,35957786,79227549,2168953,858096,3027049,7154,7147,14301,7029,7022,14051,1256783,1347748,2604531,1777746,1783063,3560809,70.6953074286203,75.58611221252418,73.14436129542472
2015,Jun,1232005,1456587,2688592,43335754,34482801,77818555,2080581,804105,2884686,7133,7135,14268,7000,7003,14003,1266910,1491140,2758050,1778770,1784439,3563209,71.22393564092042,83.56351772181621,77.40354270546578
2015,Jul,1649910,1439511,3089421,43699080,35083001,78782081,2216303,862489,3078792,7780,7752,15532,7639,7611,15250,1695088,1484471,3179559,1931496,1930661,3862157,87.76036812915999,76.88926227856678,82.32599037273731
2015,Aug,1417242,1453713,2870955,44046239,37669156,81715395,2145467,792608,2938075,7462,7468,14930,7341,7347,14688,1455063,1491711,2946774,1849453,1855417,3704870,78.6753164313989,80.39761412124606,79.53785153055303
2015,Sep,1458846,1474613,2933459,42440063,41720828,84160891,2053202,832547,2885749,7314,7316,14630,7180,7182,14362,1496470,1512226,3008696,1819379,1823505,3642884,82.25169137381492,82.92963276766447,82.5910459954256
2015,Oct,1631063,1391059,3022122,43118786,40805341,83924127,1927780,709192,2636972,7614,7603,15217,7470,7459,14929,1672312,1431768,3104080,1906193,1908971,3815164,87.7304659077019,75.00208227364375,81.36164002386266
2015,Nov,1403347,1420285,2823632,44776638,43421781,88198419,2276663,1128516,3405179,7252,7178,14430,7141,7067,14208,1455075,1471884,2926959,1825703,1815966,3641669,79.69943632671908,81.05239855812279,80.37410868478162
2015,Dec,1580055,1847744,3427799,40712876,49123384,89836260,2608382,1468591,4076973,8454,8449,16903,8335,8331,16666,1641804,1909564,3551368,2132238,2138489,4270727,76.9990967237241,89.29501157125428,83.15605282192001
2016,Jan,1918216,1642055,3560271,33780414,48082380,81862794,1998777,776403,2775180,8707,8704,17411,8571,8568,17139,1985075,1708521,3693596,2200740,2204490,4405230,90.20034170324527,77.5018711810895,83.84570158652329
2016,Feb,1560626,1375056,2935682,35140857,39741316,74882173,1763035,735432,2498467,7544,7539,15083,7433,7428,14861,1632295,1446711,3079006,1917392,1920458,3837850,85.13100085950083,75.33156153375914,80.22736688510494
2016,Mar,1470828,1538489,3009317,42373465,45400772,87774237,2034952,833416,2868368,7946,7954,15900,7819,7827,15646,1524468,1592054,3116522,2010416,2016463,4026879,75.82848524882412,78.95280002658119,77.39298846575723
2016,Apr,1481132,1478130,2959262,39501098,41853600,81354698,2041248,845195,2886443,7803,7800,15603,7671,7670,15341,1536650,1533256,3069906,1972008,1977729,3949737,77.9231118737855,77.52609179518528,77.72431430244596
2016,May,1301845,1389018,2690863,40296468,42589631,82886099,2074142,822711,2896853,7662,7668,15330,7530,7536,15066,1345264,1432738,2778002,1943410,1950713,3894123,69.22183172876541,73.44688839414101,71.33832187632491
2016,Jun,1330046,1575902,2905948,40976772,40295839,81272611,1987273,809009,2796282,7664,7654,15318,7530,7520,15050,1368924,1614688,2983612,1945520,1949256,3894776,70.36288498704717,82.83611798552883,76.6054838583785
2016,Jul,1832875,1574975,3407850,44122460,37543321,81665781,2131930,808402,2940332,8456,8452,16908,8321,8318,16639,1882058,1624123,3506181,2138610,2141262,4279872,88.00379685870729,75.84886856442603,81.92256684312053
2016,Aug,1514269,1548743,3063012,42757483,40195303,82952786,2190538,803939,2994477,8079,8091,16170,7943,7955,15898,1556617,1591449,3148066,2050456,2058413,4108869,75.91564998224784,77.31436791353339,76.61636328634474
2016,Sep,1583513,1592100,3175613,42995325,41314344,84309669,2235226,840177,3075403,7948,7936,15884,7819,7807,15626,1626493,1634904,3261397,2016476,2019444,4035920,80.66017150712432,80.95812510770291,80.80925786437788
2016,Oct,1740278,1485480,3225758,46565561,43397453,89963014,2336910,822326,3159236,8269,8263,16532,8133,8126,16259,1793347,1538321,3331668,2103165,2107416,4210581,85.2689636809285,72.99560219719315,79.12608734994055
2016,Nov,1489028,1536531,3025559,47957556,46778790,94736346,2456163,1016324,3472487,7877,7875,15752,7726,7725,15451,1553307,1600530,3153837,2021534,2028531,4050065,76.83803487846357,78.90093865955215,77.87126873272405
2016,Dec,1691033,1966585,3657618,46240278,46864788,93105066,2856253,1415024,4271277,8861,8855,17716,8703,8697,17400,1768216,2043881,3812097,2298875,2302490,4601365,76.91657876135066,88.76828998171544,82.84708993961574
2017,Jan,2044464,1757649,3802113,39290398,40509716,79800114,2146241,783722,2929963,9025,8992,18017,8867,8834,17701,2125419,1838524,3963943,2350126,2349584,4699710,90.43851265847023,78.24891555271061,84.34441699594231
2017,Feb,1599434,1371201,2970635,39054577,41760922,80815499,1985807,779695,2765502,7629,7622,15251,7491,7484,14975,1674498,1446351,3120849,1985094,1988933,3974027,84.35358728604288,72.71994582019605,78.53114737267764
2017,Mar,1509048,1550291,3059339,48500465,47622013,96122478,2327454,953116,3280570,8219,8220,16439,8077,8082,16159,1576550,1617646,3194196,2134480,2141093,4275573,73.86108091900604,75.55234639504216,74.70802159149194
2017,Apr,1634650,1673176,3307826,43397465,39079660,82477125,2119091,755932,2875023,8196,8195,16391,8040,8039,16079,1703094,1741431,3444525,2112084,2115047,4227131,80.63571335230986,82.3353334464908,81.48611907225019
2017,May,1391507,1479723,2871230,45250129,45248649,90498778,2110950,791714,2902664,7869,7886,15755,7710,7729,15439,1445124,1533523,2978647,2019491,2027792,4047283,71.55882348571991,75.62526136802987,73.59621257026009
2017,Jun,1425247,1669146,3094393,45690648,42650542,88341190,2233069,839065,3072134,7985,7980,15965,7823,7818,15641,1478011,1721505,3199516,2043964,2045077,4089041,72.31100939155483,84.17800405559302,78.24612176791575
2017,Jul,1897855,1643059,3540914,48141316,39875970,88017286,2277998,786358,3064356,9044,9044,18088,8577,8577,17154,1960661,1705569,3666230,2231184,2236978,4468162,87.8753612431785,76.24433499122478,82.05230696648869
2017,Aug,1607947,1642140,3250087,49729813,43981166,93710979,2401781,856306,3258087,8412,8416,16828,8248,8253,16501,1657832,1692201,3350033,2152286,2157528,4309814,77.02656617196784,78.43240041380692,77.73033824661574
2017,Sep,1649934,1680464,3330398,47760356,45500886,93261242,2165919,804329,2970248,8282,8278,16560,8125,8121,16246,1697329,1727742,3425071,2121634,2125808,4247442,80.00102750992866,81.27460241000128,80.63844073680112
2017,Oct,1826871,1543057,3369928,50931471,49645347,100576818,2194966,801868,2996834,8561,8552,17113,8387,8379,16766,1883504,1599400,3482904,2182352,2186143,4368495,86.30615042852848,73.16081335941885,79.72777810206948
2017,Nov,1571174,1620735,3191909,54844433,52630641,107475074,2333824,1015769,3349593,8168,8152,16320,8019,8003,16022,1633375,1682519,3315894,2101820,2101451,4203271,77.71241114843326,80.06463153316446,78.88841809152919
2017,Dec,1773170,2053765,3826935,50801339,55834509,106635848,2818439,1483833,4302272,9245,9214,18459,9106,9075,18181,1845507,2126142,3971649,2407940,2406379,4814319,76.6425658446639,88.35441133753244,82.49658986037277
2018,Jan,2098405,1786996,3885401,42379602,52319185,94698787,2056076,912363,2968439,9435,9435,18870,9302,9302,18604,2170122,1858552,4028674,2452714,2456703,4909417,88.47839576893189,75.65228682506596,82.06013056132734
2018,Feb,1697805,1489815,3187620,41970036,41719287,83689323,1798807,769416,2568223,8026,8029,16055,7884,7887,15771,1775139,1567173,3342312,2087693,2090890,4178583,85.02873746283576,74.95243652224651,79.9867323444335
2018,Mar,1660037,1710242,3370279,49334299,49752905,99087204,2179459,868111,3047570,8696,8688,17384,8509,8500,17009,1728954,1778857,3507811,2234333,2236709,4471042,77.38121399093151,79.53010427373431,78.4562301136961
2018,Apr,1664141,1697992,3362133,46889913,43787220,90677133,2073556,823237,2896793,8594,8589,17183,8369,8364,16733,1726593,1760151,3486744,2187601,2190756,4378357,78.92632157326679,80.34445643421722,79.63589995059792
2018,May,1477266,1549386,3026652,48741418,50292020,99033438,2142734,936522,3079256,8309,8312,16621,8054,8057,16111,1530634,1603013,3133647,2127475,2133220,4260695,71.94603931891092,75.14522646515596,73.54778973852856
2018,Jun,1504833,1772073,3276906,50644371,43339720,93984091,2151385,867109,3018494,8397,8387,16784,8143,8133,16276,1551681,1818710,3370391,2140784,2146309,4287093,72.48190382588808,84.73663391431523,78.61716552451743
2018,Jul,1994170,1716945,3711115,52568989,43602156,96171145,2108476,854039,2962515,9230,9224,18454,8966,8961,17927,2043871,1766310,3810181,2338279,2342248,4680527,87.40920138272635,75.41088731850769,81.40495717683073
2018,Aug,1711828,1757645,3469473,52890932,46101533,98992465,2176883,923657,3100540,8905,8896,17801,8643,8636,17279,1760166,1805984,3566150,2261224,2263971,4525195,77.8412930342151,79.77063310439931,78.80654866806844
2018,Sep,1710672,1752050,3462722,49626087,48400655,98026742,2081513,883025,2964538,8610,8609,17219,8357,8358,16715,1755784,1797219,3553003,2186928,2191679,4378607,80.28540491502235,82.00192637699224,81.1445969003384
2018,Oct,1925383,1622374,3547757,52231245,53825258,106056503,2105550,946069,3051619,8916,8917,17833,8634,8634,17268,1972206,1668972,3641178,2266937,2267805,4534742,86.99871235945243,73.59415822788996,80.29515240337818
2018,Nov,1636769,1687907,3324676,51583045,55518935,107101980,2392954,1108832,3501786,8592,8591,17183,8367,8366,16733,1690195,1740987,3431182,2189311,2192525,4381836,77.20214259189306,79.40557120215277,78.30466498517973
2018,Dec,1808282,2142297,3950579,47853600,54827795,102681395,2795768,1472180,4267948,9484,9484,18968,9263,9264,18527,1865361,2199576,4064937,2454525,2460743,4915268,75.99682219574052,89.38666085812294,82.70021085320272
2019,Jan,2187442,1885630,4073072,39449531,52747115,92196646,1993467,964990,2958457,9645,9630,19275,9429,9414,18843,2245383,1942816,4188199,2491995,2493755,4985750,90.10383247157398,77.90725231628608,84.00338966053252
2019,Feb,1757525,1499283,3256808,37659660,41822439,79482099,1748400,875522,2623922,8206,8203,16409,8015,8011,16026,1812943,1554498,3367441,2113694,2116454,4230148,85.77130842969702,73.4482299166436,79.60574901871045
2019,Mar,1629562,1655711,3285273,47454569,51531633,98986202,2141175,992405,3133580,8771,8762,17533,8552,8543,17095,1679004,1705192,3384196,2238001,2239901,4477902,75.02248658512663,76.1280074431861,75.5754815536383
2019,Apr,1701680,1801316,3502996,42572618,41940289,84512907,2091896,929631,3021527,8631,8650,17281,8399,8418,16817,1748602,1847810,3596412,2166566,2173261,4339827,80.70845753141145,85.02476232721243,82.86993928559825
2019,May,1579940,1627989,3207929,43748831,48750671,92499502,2137661,1089090,3226751,8365,8371,16736,8130,8135,16265,1623500,1671031,3294531,2093471,2096485,4189956,77.5506324186005,79.70631795600733,78.62925052196252
2019,Jun,1545754,1782850,3328604,43758979,40924205,84683184,2139505,982010,3121515,8397,8416,16813,8150,8169,16319,1585405,1822953,3408358,2109439,2114041,4223480,75.15766040165181,86.23073062442971,80.70022824779566
2019,Jul,1985113,1750509,3735622,46737990,40819446,87557436,2121735,993317,3115052,9163,9173,18336,8935,8945,17880,2021069,1786597,3807666,2308517,2308959,4617476,87.54836979758001,77.37673124555265,82.4620636902065
2019,Aug,1766857,1801853,3568710,47958148,43682225,91640373,2256681,1062611,3319292,8813,8824,17637,8595,8606,17201,1800958,1836673,3637631,2215487,2221239,4436726,81.28948623936859,82.68686980554546,81.989083842455
2019,Sep,1721451,1775323,3496774,45557859,44769887,90327746,2186385,994576,3180961,8592,8602,17194,8376,8386,16762,1760402,1814529,3574931,2151589,2156001,4307590,81.81869306823934,84.16178842217606,82.99144068957352
2019,Oct,1926829,1660334,3587163,48346261,49193883,97540144,2179091,1103521,3282612,8915,8910,17825,8700,8695,17395,1973309,1702358,3675667,2237674,2238960,4476634,88.18572321079836,76.03342623360845,82.10782923062283
2019,Nov,1702426,1724008,3426434,49424631,52601488,102026119,2427776,1261622,3689398,8662,8659,17321,8448,8445,16893,1749818,1771532,3521350,2184412,2185269,4369681,80.10476045727637,81.06699907425585,80.58597412488463
2019,Dec,1846338,2192732,4039070,44660835,56671658,101332493,2756775,1556010,4312785,9654,9655,19309,9467,9467,18934,1896769,2243848,4140617,2484419,2487831,4972250,76.34658244040156,90.19294317017514,83.27451355020364
2020,Jan,2215508,1938543,4154051,38346436,46442042,84788478,2024258,1007280,3031538,9870,9863,19733,9683,9676,19359,2271199,1993998,4265197,2549922,2551725,5101647,89.06935192527457,78.14313846515593,83.60431444982376
2020,Feb,1529809,1275620,2805429,36699653,46071499,82771152,1685892,1091401,2777293,7860,7866,15726,7697,7703,15400,1581323,1327430,2908753,2005900,2010451,4016351,78.83359090682487,66.02647863588817,72.42277878601746
2020,Mar,887482,838247,1725729,40072842,40376699,80449541,1512726,886243,2398969,5914,5905,11819,5744,5736,11480,918428,870026,1788454,1461757,1467326,2929083,62.830415725732806,59.293299512173846,61.05849509897807
2020,Apr,17304,58002,75306,30667160,25300318,55967478,607922,228200,836122,1302,1289,2591,1256,1243,2499,17307,58005,75312,121071,124931,246002,14.294917858116312,46.429629155293725,30.614385248900415
2020,May,18749,34240,52989,35904110,29647893,65552003,902799,690625,1593424,1592,1556,3148,1534,1495,3029,18749,34240,52989,101772,99102,200874,18.422552371968713,34.55026134689512,26.37922279637982
2020,Jun,25244,39591,64835,34510567,30310539,64821106,1176670,665908,1842578,1511,1531,3042,1437,1457,2894,25244,39591,64835,123956,122336,246292,20.36529090967763,32.36250980905048,26.324444155717604
2020,Jul,20016,53835,73851,37264444,31066584,68331028,1086427,538143,1624570,1611,1593,3204,1532,1514,3046,20016,53835,73851,109521,155043,264564,18.275947078642453,34.722625336197055,27.914228693246244
2020,Aug,15549,56449,71998,41269200,32837203,74106403,1133168,474395,1607563,1769,1750,3519,1664,1645,3309,15549,56449,71998,124136,171103,295239,12.52577817877167,32.991239195104704,24.386344622492288
2020,Sep,15413,46707,62120,39374992,35539271,74914263,1187721,519478,1707199,1764,1739,3503,1652,1627,3279,15413,46707,62120,139942,186567,326509,11.013848594417688,25.034974030777146,19.025509250893542
2020,Oct,23559,45618,69177,41074958,37196422,78271380,1181642,646421,1828063,1920,1911,3831,1808,1799,3607,23559,45618,69177,159235,206961,366196,14.795114139479384,22.041833968718745,18.890703339195404
2020,Nov,26167,41044,67211,43329471,38137181,81466652,1377267,700527,2077794,2000,1983,3983,1878,1861,3739,26167,41044,67211,176642,220497,397139,14.8135777448172,18.614312212864576,16.92379746134225
